[3, 8, 9, 25, 38, 44]
[3, 20, 24, 25, 28, 39]
[11, 14, 18, 23, 32, 33]
[1, 23, 28, 30, 36, 37]
[3, 7, 9, 17, 28, 44]
[2, 12, 19, 25, 38, 41]
[2, 4, 9, 21, 32, 41]
[2, 5, 17, 28, 30, 45]
[1, 13, 27, 28, 35, 45]
[8, 12, 29, 31, 37, 45]
[16, 17, 21, 24, 32, 41]
[24, 33, 34, 40, 41, 42]
[3, 6, 7, 37, 38, 39]
[7, 8, 11, 17, 29, 45]
[20, 21, 22, 23, 25, 29]
[18, 24, 26, 27, 32, 36]
[1, 5, 12, 27, 38, 45]
[11, 13, 17, 20, 34, 40]
[5, 20, 27, 33, 36, 44]
[5, 17, 18, 19, 22, 27]
[9, 14, 15, 22, 29, 44]
[2, 9, 13, 27, 33, 38]
